date,total_balance,pnl,daily_pct,equity,opened_bucket,active_buckets,invested_ratio,topk_generated,pnl_from_hold
2024-05-16,1647875.4546851972,37163.10203083092,0.02307246354048763,1.6478754546851972,1,4,1.0,10,37576.72380238911
2024-05-17,1669359.6394277483,21484.184742551064,0.013037505159426813,1.6693596394277483,2,4,1.0,10,21932.02258408116
2024-05-20,1659739.9233175693,-9619.716110178968,-0.005762518682598903,1.6597399233175694,3,4,1.0,10,-9209.515648140688
2024-05-21,1663999.4267110103,4259.503393440973,0.0025663679794644388,1.6639994267110103,0,4,1.0,10,4642.77590150584
2024-05-22,1647259.7668630015,-16739.65984800877,-0.010059895201463899,1.6472597668630016,1,4,1.0,10,-16323.181908646016
2024-05-23,1619066.1781447656,-28193.58871823596,-0.017115447900440797,1.6190661781447655,2,4,1.0,10,-27761.683596497343
2024-05-24,1651263.016976529,32196.83883176348,0.019886054854568562,1.651263016976529,3,4,1.0,10,32603.687979340437
2024-05-27,1664107.4452993488,12844.42832281976,0.007778547809020742,1.6641074452993487,0,4,1.0,10,13225.232241315534
2024-05-28,1667065.3518862296,2957.9065868807957,0.0017774733207498578,1.6670653518862295,1,4,1.0,10,3381.9211114471545
2024-05-29,1657575.9887017743,-9489.363184455317,-0.005692256259611187,1.6575759887017742,2,4,1.0,10,-9045.461914899643
2024-05-30,1642514.814099207,-15061.174602567218,-0.0090862649466606,1.642514814099207,3,4,1.0,10,-14658.883946957882
2024-05-31,1683590.7672675005,41075.95316829346,0.02500796511282637,1.6835907672675006,0,4,1.0,10,41461.35889054532
2024-06-03,1707109.0405896085,23518.27332210797,0.013969115167029913,1.7071090405896086,1,4,1.0,10,23952.747845460428
2024-06-04,1715645.232902491,8536.192312882515,0.005000379067721561,1.715645232902491,2,4,1.0,10,8997.229052151262
2024-06-05,1718124.7665790631,2479.533676572144,0.0014452484867033513,1.718124766579063,3,4,1.0,10,2900.613440099347
2024-06-06,1732947.8453377865,14823.078758723335,0.008627475167730329,1.7329478453377865,0,4,1.0,10,15221.45591540949
2024-06-07,1726840.981402017,-6106.863935769536,-0.003523974453241081,1.726840981402017,1,4,1.0,10,-5667.627833060455
2024-06-11,1733302.476350375,6461.494948358042,0.003741800789967339,1.733302476350375,2,4,1.0,10,6923.753259010089
